R5F51111ADFL
Pin No		Pin Function		
1			P27/MTIOC2B/SCK1/SCK12/IRQ3/CMPA2/CACREF/ADTRG0#
2			P26/MTIOC2A/TXD1/SMOSI1/SSDA1/USB0_VBUSEN
3			MD
4			RES#
5			XCOUT
6			XCIN/PH7
7			UPSEL/P35/NMI
8			XTAL
9			EXTAL
10			VCL
11			VSS
12			VCC
13			P17/MTIOC0C/MTIOC3A/MTIOC3B/POE8#/SCK1/MISOA/SDA0/RXD12/RXDX12/SMISO12/SSCL12/IRQ7							[I2C SDA0] --> Conflito com PWM
14			P16/MTIOC3C/MTIOC3D/RTCOUT/TXD1/SMOSI1/SSDA1/MOSIA/SCL0/USB0_VBUS/USB0_VBUSEN/USB0_OVRCURB/IRQ6/ADTRG0#		
15			P15/MTIOC0B/MTCLKB/RXD1/SMISO1/SSCL1/RSPCKA/IRQ5/CLKOUT
16			UB#/P14/MTIOC0A/MTIOC3A/MTCLKA/CTS1#/RTS1#/SS1#/SSLA0/TXD12/TXDX12/SIOX12/SMOSI12/SSDA12/USB0_OVRCURA/IRQ4
17			VCC_USB
18			USB0_DM
19			USB0_DP
20			VSS_USB
21			PC7/MTIOC3A/MTCLKB/TXD1/SMOSI1/SSDA1/MISOA/USB0_OVRCURB/CACREF				
22			PC6/MTIOC3C/MTCLKA/RXD1/SMISO1/SSCL1/MOSIA/USB0_EXICEN
23			PC5/MTIOC3B/MTCLKD/SCK1/RSPCKA/USB0_ID
24			PC4/MTIOC3D/MTCLKC/POE0#/SCK5/SSLA0/USB0_VBUS/USB0_VBUSEN/IRQ2/CLKOUT
25			PB5/PC3/MTIOC2A/MTIOC1B/POE1#
26			PB3/PC2/MTIOC0A/MTIOC3B/MTIOC4A/POE3#/USB0_OVRCURA
27			PB1/PC1/MTIOC0C/MTIOC4C
28			VCC
29			PB0/PC0/MTIC5W/MTIOC0C/RTCOUT/SCL0/RSPCKA/IRQ2/ADTRG0#						
30			VSS
31			PA6/MTIC5V/MTCLKB/MTIOC2A/POE2#/CTS5#/RTS5#/SS5#/SDA0/MOSIA/IRQ3			
32			PA4/MTIC5U/MTCLKA/MTIOC2B/TXD5/SMOSI5/SSDA5/SSLA0/IRQ5
33			PA3/MTIOC0D/MTCLKD/MTIOC1B/POE0#/RXD5/SMISO5/SSCL5/MISOA/IRQ6				
34			PA1/MTIOC0B/MTCLKC/RTCOUT/SCK5/SSLA2										
35			PE4/MTIOC4D/MTIOC1A/MTIOC3A/MOSIA/IRQ4/AN012
36			PE3/MTIOC0A/MTIOC1B/MTIOC4B/POE8#/CTS12#/RTS12#/SS12#/RSPCKA/IRQ3/AN011		[AN11 - Leitura de Corrente]
37			PE2/MTIOC4A/RXD12/RXDX12/SMISO12/SSCL12/IRQ7/AN010
38			PE1/MTIOC4C/TXD12/TXDX12/SIOX12/SMOSI12/SSDA12/IRQ1/AN009					
39			PE0/MTIOC2A/POE3#/SCK12/IRQ0/AN008
40			PE7/IRQ7/AN015																
41			P46/AN006																	
42			P42/AN002																	
43			P41/AN001																	
44			VREFL0/PJ7
45			P40/AN000																	
46			VREFH0/PJ6
47			AVSS0
48			AVCC0
